标题,发布日期,作者,是否原创,所属合集,摘要,原文链接
停运公告,2023-05-15 21:00,--,,,北同文化于今日终止运营。,https://mp.weixin.qq.com/s/5PZw5t3lqlIECS49wgmF2w
甜橙互助小组项目专员招聘，为泛少数社群伙伴提供更多支持！ ,2023-05-12 22:00,小悟生心理,,,多元、有趣、疗愈与自我成长,https://mp.weixin.qq.com/s/og-NX_BTis8R51-jVzh-hA
咨询师不是神，咨询也不是万能，但我们可以陪TA待在困境里,2023-05-12 22:00,小悟生心理,,,每个人的心理困扰都是独特而个性化的，但在大大小小的情绪泡泡中，能够洞见我们共享的疑惑。,https://mp.weixin.qq.com/s/ypQfrjFWSnplJdjM8FQwqg
北同十五周年纪念：我们曾这样努力驱散偏见，将温暖编织成网,2023-05-11 22:00,尊重多元合作,原创,,我们接住了许多人，也给了许多人希望与力量。,https://mp.weixin.qq.com/s/7FiTpqiiSDnslnoQilnHgQ
来看看这些酷儿 DIY 艺术创作吧！,2023-05-10 22:00,OrangeOrlando,,,,https://mp.weixin.qq.com/s/xzJdVqQjtdNmESeEhru0Zw
抗艾会「伤脑」吗？最新创新疗法助力 HIV 感染者实现更优生存,2023-05-10 22:00,尊重多元合作,,,「再次见到他时，仿佛换了一个人」。,https://mp.weixin.qq.com/s/emVS1oZGXjolo5Ln_un5_Q
五四特辑：我们这些参与性多元公益的年轻人,2023-05-04 18:30,尊重多元合作,原创,,在TA们身上，我看到了国内性多元事业的无限未来。,https://mp.weixin.qq.com/s/-DwHXLqHzp8mADqNdGYxZQ
回忆征集！北同的实习生和志愿者伙伴们看过来,2023-05-02 16:00,--,,,无论未来长在哪里，在北同的经历都会留下爱与温暖的力量。,https://mp.weixin.qq.com/s/nAv5_6TUn7R1gryQ-F-nZw
致我们「现身」的瞬间：愿所有爱都可以平等、喜悦、热烈地书写出来,2023-05-02 16:00,尊重多元合作,原创,,无论何时何地，我们都可以为自己的勇气欢呼。,https://mp.weixin.qq.com/s/2ewwNP_mbCh8SUeBzLH1fA
和女同朋友们一起，聊聊性多元伙伴的身份与存在,2023-05-02 16:00,罐罐,原创,,有关理想生活的高频词汇，是自由与热爱。,https://mp.weixin.qq.com/s/YyfYdCLKDDd42q9EJs1H1A
爱姐？抓马？智性恋？女同现身日，揭开关于拉拉的七个迷思,2023-04-26 22:00,第耳,原创,,看见真实的女同性恋，听见她们勇敢而骄傲的声音。,https://mp.weixin.qq.com/s/8JGbaOluSVpCpc074icF7w
想贴贴等于有性欲吗？走进无性恋者的「爱」与「性」,2023-04-25 22:00,尊重多元合作,原创,,关注人本身，而不是把TA当作性符号。,https://mp.weixin.qq.com/s/-Cj3Yaxd25MFhugaLuHsVw
周三直播预告：性多元友善新手咨询师如何顺利渡过迷茫期？,2023-04-24 22:00,--,,,,https://mp.weixin.qq.com/s/FLmS-A-alY65vlT8zdicug
彩虹来访者一百问 | 征集,2023-04-22 22:00,小悟生心理,,,小悟生的新栏目「彩虹来访者一百问」开始征集提问啦！,https://mp.weixin.qq.com/s/E3ET4_QBk_tf4a9FxZRaDQ
世界地球日：气候变了，我的心情也是 | 彩虹心理学,2023-04-22 22:00,小悟生心理,,,事实上，气候变化对性多元群体有着更明显的影响。,https://mp.weixin.qq.com/s/LW1BEog9mKPQalUoiP2sXg
爱是一场勇敢者的游戏，有些人敢于闭着眼往前走,2023-04-20 22:00,--,,,"晚上好，这里是 Proud Pond 彩虹塘 Vol.06。

四月，我们将继续带来一系列围绕女性情欲创作的原创诗。

植语瞳关注并支持北同文化多年，她的诗集《萨福的岛》汇集了对女性身体、情感、欲望、爱与亲密关系的探索和反思。本期推送的诗作选自《萨福的岛》辑六「爱是一场勇气的复苏」和辑七「在岛屿写作」。

❤️🧡💛💚💙💜

作者：植语瞳
编辑：大白
设计：大白",https://mp.weixin.qq.com/s/wOs7qnb8-V882xkqI0A36w
2023年两会，多元性别女性生育权走到了哪一步？,2023-04-18 22:00,同小语,,,开放单身女性生育背后的理念是，对女性身体自主权的尊重和对多元化社会的包容。,https://mp.weixin.qq.com/s/O9dGyWVFwyMK2fMDFBm7Ow
互助小组实习生急招！让同伴互助的形式触达更多人群,2023-04-17 22:00,小悟生心理,,,多元、有趣、疗愈与自我成长,https://mp.weixin.qq.com/s/l17AMwAFLDrPaf8OVD2fPw
直播预告：与女性主义心理咨询师聊聊社会创伤、疗愈与赋权,2023-04-17 22:00,小悟生心理,,,,https://mp.weixin.qq.com/s/9nk1fhs6RrpcZLgoTinZRw
警铃大作的「基达」，是天赋还是刻板印象作祟？丨彩虹心理学,2023-04-15 22:00,小悟生心理,,,对于性多元群体的刻板印象无形地存在我们的日常生活中，而让这些刻板合理化的，可能正是你脑中警铃大响的「基达」。,https://mp.weixin.qq.com/s/q00WPUS8kS_nH4RomZ8tJg
「超级无敌坚持」的我把她领回了家丨Speed Dating Vol. 2,2023-04-14 22:00,尊重多元合作,原创,,小杨在 CC 身上找到了学生时代恋爱的「无忧无虑」和「很开心很充实很幸福」的状态。,https://mp.weixin.qq.com/s/UaibSlLI378tcOXi-YPYIA
隐瞒倾向？只是朋友？拉拉运动员的三十年,2023-04-13 22:00,尊重多元合作,原创,,真的经历过，就会觉得这个过程很漫长。,https://mp.weixin.qq.com/s/W6TltvmRe4dZycn-co3lNA
醒来的诗人说，真实的爱是从手爱到脚,2023-04-11 22:00,--,,,"晚上好，这里是 Proud Pond 彩虹塘 Vol.05。

四月，我们将继续带来一系列围绕女性情欲创作的原创诗。植语瞳关注并支持北同文化多年，她的诗集《萨福的岛》汇集了对女性身体、情感、欲望、爱与亲密关系的探索和反思。

本期推送的诗作选自《萨福的岛》辑四「一场岛屿时刻」和辑五「爱是永恒的存在主义」。

❤️🧡💛💚💙💜
作者：植语瞳
编辑：大白
设计：大白",https://mp.weixin.qq.com/s/1fGrNZfMUAUPatqd0F-onQ
质疑与诘问「正常」与「不正常」：走近日本作家村田沙耶香,2023-04-09 22:00,无性恋之声,,,希望大家也能感受到这份共鸣、认同与感动。,https://mp.weixin.qq.com/s/_vYluPN6yjD5MZemZT54fA
无性吸引之声新一轮专栏作者招募启动！,2023-04-08 22:00,尊重多元合作,,,本次招募的报名时间截至4月14日。,https://mp.weixin.qq.com/s/IUz7AJ9IHEt5dpX_4QNrNA
你知道吗？跨儿并不是一座孤岛 | 彩虹心理学,2023-04-08 22:00,小悟生心理,,,用专业与耐心为跨儿和家庭构建爱的桥梁。,https://mp.weixin.qq.com/s/n_hsyLHaum0f79wbtiMgyA
一位跨性别者的自述：我要做的似乎是先证明「我是人」,2023-04-06 22:00,酷儿小分队,,,对于性/别以及身体的脆弱性，发现更多可能。,https://mp.weixin.qq.com/s/exX0vZKS8tBkZ8M9ppqjAw
不必塑造「标准女性」：女性具身化与精神内耗 | 彩虹心理学,2023-04-01 22:00,小悟生心理,,,由谁规定的「你应该」？通过积极的女性具身化（Female Embodiment）实践，听听来自于「我」的声音，破除外在的规训。,https://mp.weixin.qq.com/s/3P0ZHuboRO7qTUIbVlBBwQ
跨性别现身日：说出「我的孩子是跨性别」需要多少勇气的助燃？,2023-03-31 22:00,小悟生心理,,,愿理解和同情最终将战胜一切。,https://mp.weixin.qq.com/s/4iSRUc70iDnNaquVvrD_bA
原来这些作品由跨性别者创作！跨性别现身日特辑,2023-03-31 22:00,尊重多元合作,原创,,国际跨性别者现身日，希望无论是你还是妳，都可以被看见。,https://mp.weixin.qq.com/s/IOQti5OG7H3fEcfFRvaNWA
三月，用真诚与投入突破发展路上的荆棘丨赛博办公室,2023-03-30 22:00,尊重多元合作,原创,#办公室,深刻的链接有时候不需要那么复杂。,https://mp.weixin.qq.com/s/mCSzVADRHqV2Z3s-l11B6w
「我从来不会歧视，可我小孩不能是」：终结所反性/别暴力主题曲《#15岁》MV发布！,2023-03-29 22:00,你们的镇镇,,,🌈从此刻改变，让身陷暴力囹圄的人，找到出口。,https://mp.weixin.qq.com/s/ettGl9LqZTSk4Obmuk81pg
Jimmy：让我们自己的声音被听到丨酷在职场 Vol. 01,2023-03-29 22:00,尊重多元合作,原创,,在世界 500 强得到一份「gay job」，为更多「像自己一样的人」铺路。,https://mp.weixin.qq.com/s/Z97Z9mWbKRCYpBDn-47nLA
爱与亲密 | 性多元女性深度小组报名,2023-03-25 22:00,小悟生心理,,,个人成长 | 亲密关系,https://mp.weixin.qq.com/s/U6RTH0ZZOC-yWBSdwnXhkA
国际跨性别现身日：愿跨性别者皆能轻松现身,2023-03-25 22:00,小悟生心理,,,跨性别专场 | 清明特别策划 | 情感交流 | 基友专场,https://mp.weixin.qq.com/s/MDp-pl0a4r5A-8CnseU9Aw
成长中隐身的家长：为什么家庭支持对Ta们的教育更为关键？| 彩虹心理学,2023-03-25 22:00,小悟生心理,,,家长的支持，对TA们的教育成功至关重要。,https://mp.weixin.qq.com/s/UXOl24LoYaqWfvONFkAo3Q
北同媒体部志愿者招募！错过再等半年,2023-03-23 22:00,尊重多元合作,原创,,相信传播的力量，让我们一同为爱发声。,https://mp.weixin.qq.com/s/JJmEaz-wMkL4M2mMTSLQyA
如果用比喻，我说你是「一场云」,2023-03-23 22:00,--,,,"晚上好，这里是Proud Pond彩虹塘。

三月，我们将带来一系列围绕女性情欲创作的原创诗。植语瞳关注并支持北同文化多年，她的诗集《萨福的岛》汇集了对女性身体、情感、欲望、爱与亲密关系的探索和反思。

本期推送的诗作选自《萨福的岛》辑四「一场岛屿时刻」和辑五「爱是永恒的存在主义」。

❤️🧡💛💚💙💜
作者：植语瞳
编辑：Monica、大白
设计：大白",https://mp.weixin.qq.com/s/qZfNKGYbEbznAx0xLUJOnQ
北同开放日：一次相遇开启春天的一万种可能,2023-03-20 22:00,尊重多元合作,,,来北同的办公室看看吧~,https://mp.weixin.qq.com/s/iIUHtbikKWn06d1JrzNrJQ
我，35+，北同帮我找到那个心动的她｜Speed Dating Vol. 1,2023-03-20 22:00,尊重多元合作,原创,,新年愿望终于不是「拜托上天赐我一个女朋友了」！,https://mp.weixin.qq.com/s/bJH98cehymOnLLATIcic_Q
为何性能治愈心灵？聊聊性背后的心理需求,2023-03-18 23:43,小悟生心理,,,情感交流/职场互助/跨性别专场/拉拉专场/基友专场,https://mp.weixin.qq.com/s/0yHKBEoLXkBB0ud7bZwKPg
想更好地为多元来访者提供支持？有时倾听比表达更重要 | 彩虹心理学,2023-03-18 23:43,小悟生心理,,,动机式访谈的对话有点像在一个人翻看自己的生活相册时，你与ta一起坐在沙发上。,https://mp.weixin.qq.com/s/PxDkKCEA15xseJ_98gzX9A
建议征集！助力《跨性别者和性别多元化人群健康护理标准》本土化翻译,2023-03-16 22:00,yaoyao,,,期待您的参与~,https://mp.weixin.qq.com/s/S4voyT5Wo9nwdsYoMkJuiA
分手后，ta说「前任是一座著名历史古迹」,2023-03-16 22:00,--,,,"晚上好，这里是Proud Pond彩虹塘。

三月，我们将带来一系列围绕女性情欲创作的原创诗。植语瞳关注并支持北同文化多年，她的诗集<a target=""_blank"" href=""https://mp.weixin.qq.com/s?__biz=Mzk0NzM4OTQ0NQ==&amp;mid=2247548088&amp;idx=1&amp;sn=44e0284c39ef1d67cdf8d23b5108fbd6&amp;scene=142#wechat_redirect"">《萨福的岛》</a>汇集了对女性身体、情感、欲望、爱与亲密关系的探索和反思。

本期推送的诗作选自《萨福的岛》辑三「痛苦与爱」。

❤️🧡💛💚💙💜

作者：植语瞳
编辑：Monica、小熊
设计：小熊",https://mp.weixin.qq.com/s/g1COEjD8nCQ99E8XrOFhBQ
「男风盛行」是「奢靡腐朽」的代言吗？历史侧写中的多元恋情,2023-03-14 22:00,封清扬,原创,,是真正的爱情，还是特殊环境催生的文化现象？,https://mp.weixin.qq.com/s/uaLI3Z2XEUAgANZyNTaPJA
「浮生半日」体验一次模拟人生 | 资深带领者专场,2023-03-11 22:00,小悟生心理,,,资深带领者专场/正念冥想/OH卡牌体验活动,https://mp.weixin.qq.com/s/jOiTi-4421c6w7sue0gC1g
女性可以成为任何她想成为的样子 | 甜橙互助最新活动,2023-03-11 22:00,小悟生心理,,,情感交流/女性专场/基友专场,https://mp.weixin.qq.com/s/VGkCq3N3vN2OFfUuaxWcMg
「我是我，是中国人，也是跨性别者」：加籍亚裔青少年的出柜经历 | 彩虹心理学,2023-03-11 22:00,小悟生心理,,,「这会对我父亲有何影响？」 当他在考虑出柜时，他首先会考虑这一点。,https://mp.weixin.qq.com/s/AqrlzfscRz9jUdcJmGDIRw
国内首部跨性别兄弟群像纪录片《逆向奔跑的兄弟》先行预告，发布！,2023-03-08 22:00,猫哥和兄弟们,,,哪怕困难重重也毫无畏惧的向前奔跑！,https://mp.weixin.qq.com/s/S3tdcyOXI4gptEu-1avEoQ
「你有你的女性部族」：妇女节，让我们共同书写情欲与爱恋,2023-03-08 22:00,植语瞳,原创,#Proud Pond彩虹塘,萨福岛屿上的日出，是令女孩们爱欲觉醒的神之光。,https://mp.weixin.qq.com/s/lqxAlRbIwc_H2e4HSnj4Ug
小悟生心理媒体&课程运营实习生急招！一起推动心理行业更加多元化,2023-03-06 22:08,小悟生心理,,,一起为具有多元身份的人们找到疗愈的千万种方式。,https://mp.weixin.qq.com/s/KKi8YsYKREkv_oaDpx7heg
不受待见的双性恋：在摇摆中探索，都是性倾向的错吗？,2023-03-06 22:08,尊重多元合作,原创,,先建立一套为爱与周遭「为敌」的世界观，笃信它，然后毁了它。,https://mp.weixin.qq.com/s/KpQ3a_DQO0iFlB5Fb3e8Ng
如何与家人相处？丨性多元人群深度小组报名,2023-03-04 22:00,小悟生心理,,,家庭关系/温暖陪伴/个人成长,https://mp.weixin.qq.com/s/syZpVr5EHJiyxwcz05252w
